,Gender,Age,Annual Income (k$),Spending Score (1-100),Income cluster,Spending and Income Cluster
0,Male,19,15,39,0,4
1,Male,21,15,81,0,3
2,Female,20,16,6,0,4
3,Female,23,16,77,0,3
4,Female,31,17,40,0,4
5,Female,22,17,76,0,3
6,Female,35,18,6,0,4
7,Female,23,18,94,0,3
8,Male,64,19,3,0,4
9,Female,30,19,72,0,3
10,Male,67,19,14,0,4
11,Female,35,19,99,0,3
12,Female,58,20,15,0,4
13,Female,24,20,77,0,3
14,Male,37,20,13,0,4
15,Male,22,20,79,0,3
16,Female,35,21,35,0,4
17,Male,20,21,66,0,3
18,Male,52,23,29,0,4
19,Female,35,23,98,0,3
20,Male,35,24,35,0,4
21,Male,25,24,73,0,3
22,Female,46,25,5,0,4
23,Male,31,25,73,0,3
24,Female,54,28,14,0,4
25,Male,29,28,82,0,3
26,Female,45,28,32,0,4
27,Male,35,28,61,0,3
28,Female,40,29,31,0,4
29,Female,23,29,87,0,3
30,Male,60,30,4,0,4
31,Female,21,30,73,0,3
32,Male,53,33,4,0,4
33,Male,18,33,92,0,3
34,Female,49,33,14,0,4
35,Female,21,33,81,0,3
36,Female,42,34,17,0,4
37,Female,30,34,73,0,3
38,Female,36,37,26,0,4
39,Female,20,37,75,0,3
40,Female,65,38,35,0,4
41,Male,24,38,92,0,3
42,Male,48,39,36,0,4
43,Female,31,39,61,0,0
44,Female,49,39,28,0,4
45,Female,24,39,65,0,3
46,Female,50,40,55,0,0
47,Female,27,40,47,0,0
48,Female,29,40,42,0,0
49,Female,31,40,42,0,0
50,Female,49,42,52,0,0
51,Male,33,42,60,0,0
52,Female,31,43,54,0,0
53,Male,59,43,60,0,0
54,Female,50,43,45,0,0
55,Male,47,43,41,0,0
56,Female,51,44,50,0,0
57,Male,69,44,46,0,0
58,Female,27,46,51,0,0
59,Male,53,46,46,0,0
60,Male,70,46,56,0,0
61,Male,19,46,55,0,0
62,Female,67,47,52,0,0
63,Female,54,47,59,0,0
64,Male,63,48,51,0,0
65,Male,18,48,59,0,0
66,Female,43,48,50,0,0
67,Female,68,48,48,0,0
68,Male,19,48,59,0,0
69,Female,32,48,47,0,0
70,Male,70,49,55,0,0
71,Female,47,49,42,0,0
72,Female,60,50,49,0,0
73,Female,60,50,56,0,0
74,Male,59,54,47,1,0
75,Male,26,54,54,1,0
76,Female,45,54,53,1,0
77,Male,40,54,48,1,0
78,Female,23,54,52,1,0
79,Female,49,54,42,1,0
80,Male,57,54,51,1,0
81,Male,38,54,55,1,0
82,Male,67,54,41,1,0
83,Female,46,54,44,1,0
84,Female,21,54,57,1,0
85,Male,48,54,46,1,0
86,Female,55,57,58,1,0
87,Female,22,57,55,1,0
88,Female,34,58,60,1,0
89,Female,50,58,46,1,0
90,Female,68,59,55,1,0
91,Male,18,59,41,1,0
92,Male,48,60,49,1,0
93,Female,40,60,40,1,0
94,Female,32,60,42,1,0
95,Male,24,60,52,1,0
96,Female,47,60,47,1,0
97,Female,27,60,50,1,0
98,Male,48,61,42,1,0
99,Male,20,61,49,1,0
100,Female,23,62,41,1,0
101,Female,49,62,48,1,0
102,Male,67,62,59,1,0
103,Male,26,62,55,1,0
104,Male,49,62,56,1,0
105,Female,21,62,42,1,0
106,Female,66,63,50,1,0
107,Male,54,63,46,1,0
108,Male,68,63,43,1,0
109,Male,66,63,48,1,0
110,Male,65,63,52,1,0
111,Female,19,63,54,1,0
112,Female,38,64,42,1,0
113,Male,19,64,46,1,0
114,Female,18,65,48,1,0
115,Female,19,65,50,1,0
116,Female,63,65,43,1,0
117,Female,49,65,59,1,0
118,Female,51,67,43,1,0
119,Female,50,67,57,1,0
120,Male,27,67,56,1,0
121,Female,38,67,40,1,0
122,Female,40,69,58,1,0
123,Male,39,69,91,1,2
124,Female,23,70,29,1,1
125,Female,31,70,77,1,2
126,Male,43,71,35,1,0
127,Male,40,71,95,1,2
128,Male,59,71,11,1,1
129,Male,38,71,75,1,2
130,Male,47,71,9,1,1
131,Male,39,71,75,1,2
132,Female,25,72,34,1,0
133,Female,31,72,71,1,2
134,Male,20,73,5,1,1
135,Female,29,73,88,1,2
136,Female,44,73,7,1,1
137,Male,32,73,73,1,2
138,Male,19,74,10,1,1
139,Female,35,74,72,1,2
140,Female,57,75,5,1,1
141,Male,32,75,93,1,2
142,Female,28,76,40,1,0
143,Female,32,76,87,1,2
144,Male,25,77,12,1,1
145,Male,28,77,97,1,2
146,Male,48,77,36,1,1
147,Female,32,77,74,1,2
148,Female,34,78,22,1,1
149,Male,34,78,90,1,2
150,Male,43,78,17,1,1
151,Male,39,78,88,1,2
152,Female,44,78,20,1,1
153,Female,38,78,76,1,2
154,Female,47,78,16,1,1
155,Female,27,78,89,1,2
156,Male,37,78,1,1,1
157,Female,30,78,78,1,2
158,Male,34,78,1,1,1
159,Female,30,78,73,1,2
160,Female,56,79,35,1,1
161,Female,29,79,83,1,2
162,Male,19,81,5,1,1
163,Female,31,81,93,1,2
164,Male,50,85,26,2,1
165,Female,36,85,75,2,2
166,Male,42,86,20,2,1
167,Female,33,86,95,2,2
168,Female,36,87,27,2,1
169,Male,32,87,63,2,2
170,Male,40,87,13,2,1
171,Male,28,87,75,2,2
172,Male,36,87,10,2,1
173,Male,36,87,92,2,2
174,Female,52,88,13,2,1
175,Female,30,88,86,2,2
176,Male,58,88,15,2,1
177,Male,27,88,69,2,2
178,Male,59,93,14,2,1
179,Male,35,93,90,2,2
180,Female,37,97,32,2,1
181,Female,32,97,86,2,2
182,Male,46,98,15,2,1
183,Female,29,98,88,2,2
184,Female,41,99,39,2,1
185,Male,30,99,97,2,2
186,Female,54,101,24,2,1
187,Male,28,101,68,2,2
188,Female,41,103,17,2,1
189,Female,36,103,85,2,2
190,Female,34,103,23,2,1
191,Female,32,103,69,2,2
192,Male,33,113,8,2,1
193,Female,38,113,91,2,2
194,Female,47,120,16,2,1
195,Female,35,120,79,2,2
196,Female,45,126,28,2,1
197,Male,32,126,74,2,2
198,Male,32,137,18,2,1
199,Male,30,137,83,2,2
